"pca_id","pca_description","product_family","business_unit","technology_group"
"73-16361-01","PCA, PANDA, PSM-NM-ADPTR","PANSRG","SRGBU","ENGTG"
"73-13879-01","PCA,DBRD,Belmont SFP+ Uplink Module (BSUM)","","",""
"73-13536-01","PCA,OTHER,Einstein 120G CXP Normal Mode Testcard","","",""
"73-10548-01","PCA,OTHER,40G_Loopback,Mule_1.5,GSR","","",""
"73-10546-01","PCA,OTHER,S2-OPT-STAR,SFR,HFR","","",""
"73-10544-01","PCA,MBRD,HS13-Cu,HFR","","",""
"73-15124-03","^PCA,MBRD,ARBELOS-48","C3650","UABU","ENGTG"
"73-15127-03","^PCA,MBRD,SALINON-24","C3650","UABU","ENGTG"
"73-15131-03","^PCA,MBRD,SALINON-48P,POE","C3650","UABU","ENGTG"
"73-100194-03","PCA, Halley IMX172 Sensor Board","","",""
"73-15905-01","PCA,MBRD,storage HDD card,CARMEL,CANDLESTICK BLADE SERVER","","",""
"73-5762-01","PCA,15454 OC192 SR/IR","15454","CORBU","CTG"
"73-7346-0252","PCA,ASY,SMFLR-8-155-LC/C","","",""
"73-10282-01","PCA,MBRD,CEOPS-DEBUG,SPA","","",""
"73-14048-01","PCA,OTHER,,PWR INTERPOSER,LC,PANINI","","",""
"73-7565-05","PCA,JUNO,32PORTS BASEBOARD LC,CONST2","","",""
"73-7967-02","PCA,BUCKEYE,ANT,PATCH,UMP,GETEK","","",""
"73-7337-01","PCA,VEGAS,TESTCARD","","",""
"73-16704-02","PCA,MBRD, Macallan,Bell_UPoE,BrdCom,Line  Card,P0 TestCard","","",""
"73-15870-02","PCA,MBRD, Macallan,Bell_UPoE,SiLab,Line Card,P0 TestCard","","",""
"73-15308-01","Part No. 73-15262-01 already in use for the purpose","","",""
"73-9541-01","PCA, 15454 2-PORT OC192AS(20G) CARD","","",""
"73-219070-01","PCA,ASY,PCB FRSM 4E1","","",""
"73-9776-01","PCA, Shaggy","","",""
"73-9910-01","PCA,SUB,SMFLR-4-155/B, HASL CONVERSION","","",""
"73-9463-01","PCA,HYDRA_CRM,48P,10/100,RJ45","","",""
"73-9539-01","PCA,MBRDCopperbelly,OSR FlexWAN II","7600","ERBU","CTG"
"73-10632-01","PCA,OTHER,Cowbow,XFP,Test Card","","",""
"73-12939-02","PCA,OTHER,Perfect Storm,Interface Module,12G-SFP","","",""
"73-1585-10","PCA,SUB,COBRA,1E2T1B2AS,0M","","",""
"73-10304-0151",",PXM45/D","","",""
"73-1584-10","PCA,SUB,COBRA,1R2T1B2AS,0M","","",""
